Initials,Date,Course_ID,Time (m),Summary
BWT,2/21/2022,BUSA-103-02,60,Excel Review Session
BWT,2/21/2022,BIOL-130L-02,40,Lab 4 Macromolecule HW
BWT,2/21/2022,BUSA-103-02,65,Excel Review
BWT,2/22/2022,CHEM-104-04,60,Clausius-Clapeyron Review
BWT,2/22/2022,CHEM-104L-06,45,Reaction Rate Prelab
BWT,2/22/2022,BUSA-103-02,80,Regional Meet and Greet
BWT,2/22/2022,BUSA-103-02,85,Extra Credit - Meet and Greet
BWT,2/22/2022,CHEM-104-04,40,Chapter 12 Makeup Test
BWT,2/22/2022,IDC-101H-02,25,Mladic Trial Notes
BWT,2/22/2022,BIOL-130-01,40,Test Review
BWT,2/23/2022,BIOL-130-01,15,Test Review
BWT,2/23/2022,DS-160-01,55,Midterm Paper
BWT,2/23/2022,DS-160-01,60,Midterm Paper
BWT,2/23/2022,DS-160-01,75,Midterm Paper
BWT,2/24/2022,DS-160-01,20,Midterm Study
BWT,2/25/2022,DS-160-01,40,Midterm Paper
BWT,2/25/2022,DS-160-01,50,Midterm Paper
BWT,2/25/2022,DS-160-01,30,Midterm Study
BWT,2/25/2022,DS-160-01,25,Dataset Selection Team Project
BWT,2/25/2022,DS-160-01,40,Team Project 4
BWT,2/25/2022,DS-160-01,25,Team Project 4
BWT,2/26/2022,IDC-101H-02,30,Wiesel Essay
BWT,2/27/2022,IDC-101H-02,75,Wiesel Essay
BWT,2/27/2022,IDC-101H-02,115,Wiesel Essay
BWT,2/27/2022,IDC-101H-02,95,Wiesel Essay
BWT,3/1/2022,BUSA-103-02,45,Project Research
BWT,3/3/2022,BUSA-103-02,95,Project Preseentation Work
BWT,3/3/2022,DS-160-01,160,Team Project 4
BWT,3/5/2022,DS-160-01,50,Team Project 4
BWT,3/6/2022,BUSA-103-02,85,Project and Peer Evaluation
BWT,3/6/2022,DS-160-01,70,Team Project 4
BWT,3/7/2022,CHEM-104L-06,55,Kinetics Prelab
BWT,3/7/2022,BIOL-130L-02,60,Enzyme Excel Work
BWT,3/7/2022,CHEM-104L-06,175,Kinetics Prelab
BWT,3/7/2022,DS-160-01,25,Team Project 4
BWT,3/8/2022,DS-160-01,105,Team Project 4
BWT,3/8/2022,CHEM-104L-06,45,Kinetics Prelab
BWT,3/8/2022,CHEM-104L-06,95,Kinetics Prelab
BWT,3/9/2022,BIOL-130-01,40,Quiz Review
BWT,3/9/2022,DS-160-01,50,SQL Download
BWT,3/9/2022,DS-160-01,40,Team Project 4
BWT,3/9/2022,DS-160-01,75,Team Project 4
BWT,3/10/2022,IDC-101H-02,25,Night and Fog Response Page
BWT,3/10/2022,DS-160-01,65,Team Project 4
BWT,3/10/2022,DS-160-01,95,Team Project 4
BWT,3/10/2022,DS-160-01,55,Team Project 4
BWT,3/11/2022,DS-160-01,35,Team Project 4
BWT,3/11/2022,DS-160-01,195,Team Project 4
BWT,3/12/2022,DS-160-01,100,Team Project 4
BWT,3/13/2022,DS-160-01,55,Team Project 4
BWT,3/13/2022,DS-160-01,95,Team Project 4
BWT,3/13/2022,BIOL-130-01,30,Lecture Recording
BWT,3/13/2022,IDC-101H-02,60,Survival in Auschwitz Reading
BWT,3/13/2022,CHEM-104-04,80,Chapter 16 Questions
BWT,3/13/2022,DS-160-01,50,Team Project 4
